Are you happy?	Ты счастлива? 
And I'm happy I'm alive.	"И я счастлив, что я жив. 
I'm happy I'm alive.	Я счастлив, что я жив. 
And they're not happy with this.	И они не счастливы от этого. 
I might write about a Muslim woman in one novel, and perhaps it will be a very happy story, and in my next book, I might write about a handsome, gay professor in Norway.	Я могу написать о мусульманской женщине в одном романе. И возможно это будет очень счастливая история. А в следующей книге, я могу написать о красивом профессоре-гее из Норвегии. 
Because the best stories always have a happy ending.	Ведь у лучших историй всегда счастливый конец. 
And I wrote a lot of happy songs on my first record, which I still stand by, but this has got something else in it.	Я записал много счастливых песен на моей первой пластинке, которых я до сих пор придерживаюсь, но эта получилась другой. 
Because there happy to be doing something that's the right thing to do.	Потому что они рады делать что-то, что правильно. 
People were happy.	Люди были счастливы. 
And the people were happy. They were satisfied.	И люди были счастливы, они были довольны. 
And let me tell you right now, it's fine that we would all be very happy with speech.	Позвольте сказать вам, естественно, мы были бы очень счастливы слышать речь. 
I am very, very happy to be amidst some of the most - the lights are really disturbing my eyes and they're reflecting on my glasses.	Я очень, очень рад быть среди одних из самых - свет от ламп действительно режет мне глаза и отражается в моих очках. 
I am very happy and honored to be amidst very, very innovative and intelligent people.	Я очень счастлив и это большая честь для меня быть среди таких новаторов и интеллектуалов. 
About 120 interventions have been proposed that allegedly make people happy.	Мы составили список из примерно 120 способов воздействия, претендующих на способность сделать человека счастливым, 
And I believe there are three different - and I call them different because different interventions build them, it's possible to have one rather than the other - three different happy lives.	разумную постановку вопроса. Я считаю, что есть три различных вида - я говорю "различных", потому что они вызываются различными видами воздействия, и вполне допустимо иметь один, но не другой - есть три различных вида счастливой жизни. 
I thought, when I first became a therapist 30 years ago, that if I was good enough to make someone not depressed, not anxious, not angry, that I'd make them happy.	Когда 30 лет назад я начал заниматься терапией, я считал, что исцелив человека от депрессии, тревожности, раздражённости, я сделаю его счастливым. Но так никогда не получалось. 
They are now happy sending the news that they have protected the Okapi with the war, because we sent the news that they are killing and poaching everywhere.	Теперь они счастливы и отправляют сообщения, что это они спасли окапи от войны. Потому что мы отправляли сообщения о том, что они убивали и занимались браконьерством везде. 
Everybody is happy, but see what it's doing, see what is going in Darfur.	Все счастливы, но посмотрите, что происходит. Видите, что происходит в Дарфуре. 
And when customers call for service and they're dealing with happy people that can make decisions and are fulfilled, how do the customers feel?	И когда клиенты обращаются в эту компанию, и имеют дело с счастливыми людьми, способными принимать решения и довольными жизнью, как чувствуют себя клиенты? 
When I got there, we had zero happy customers.	Когда я туда пришел, там был ноль счастливых клиентов. 
I care that your customer and your team is happy and you're organized with that.	Мне важно, чтобы ваши клиенты и сотрудники были счастливы и были организованы соответственно. 
Through promoting fun and a great environment, we were able to transform Sciant and, in just three short years - sounds like a long time, but change is slow - every customer, from zero to every customer referring us, above average profits for the industry and happy stakeholders.	И благодаря новому интересному и радостному окружению, нам удалось преобразовать Sciant, и через три года - кажется, это очень долго, но перемены идут медленно, мы пришли к тому, что не ноль, а каждый клиент нас рекомендовал, что наша прибыль была больше, чем в среднем в этой индустрии, и у нас были довольные пайщики. 
And you can say, "Well how do you know they're happy?"	Можно спросить: "А как вы знаете, что они были довольны?" 
And there are all these animals, and all these people happy, and there's this economic value.	Аплодисменты. И там обитают все эти животные, живут все эти довольные люди и существует экономическая выгода. 
And since I don't like to travel alone, they also invited my daughter, son-in-law and granddaughter, so we had a lovely trip to see Russia today, which is not a very pleasant and happy view.	А так как я не люблю путешествовать одна, они также пригласили мою дочь, зятя и внучку. Таким образом, у нас была прекрасная поездка, и мы увидели сегодняшнюю Россию, у которой не очень приятный и не очень счастливый вид. 
We commuted longer to work, but as you can see from this graph, the longer you commute the less happy you're likely to be.	Мы теперь дольше добираемся на работу, но как вы можете видеть из этого графика, чем дольше вы добираетесь до работы, тем менее счастливы вы, вероятно, будете. 
So I'm just going to show you one bottom-line experiment that answers this, and of course I've got a lot of other data, so if you're interested I'm happy to show more. So the experiment is called a reconstruction experiment.	Сейчас я покажу вам один окончательный эксперимент, который отвечает на эти вопросы. Конечно, у меня есть и другая информация, так что если вам интересно, я рада буду её показать. Этот эксперимент называется реконструкцией. 
It pairs closely with love, which is the will for the other to be happy, which requires, of course, that one feels some happiness oneself and wishes to share it.	Это сродни любви. Любовь - желание сделать "другого" счастливым. Это, в свою очередь, предполагает, что любящий сам должен испытывать чувство счастья, которым он хочет поделиться. 
This is perfect in that it clearly opposes self-centeredness and selfishness to compassion, the concern for others, and, further, it indicates that those caught in the cycle of self-concern suffer helplessly, while the compassionate are more free and, implicitly, more happy.	Здесь предельно противопоставлены эгоистичность и себялюбие сочувствию и заботе о других, и, как следствие, это означает, что те, кто находятся в плену своих интересов, безнадежно подвержены страданию, в то время как сочувствие делает людей более свободными и, тем самым, более счастливыми. 
So as he comes up from his first bow he says, "My Lord, I'm so happy to see you, but where have you been for 12 years?	И, как только он завершает свой первый поклон, он говорит: Мой Господин, я так счастлив видеть тебя, но где ты был 12 лет? 
And then you think of how lovely beings are when they are happy, when they are satisfied.	А потом вы думаете, как прекрасны существа, когда они счастливы, когда они удовлетворены. 
When they're angry, they look ugly, every being, but when they're happy they look beautiful.	Когда они рассержены, они неприглядны, каждое существо, но когда они счастливы - они красивы. 
If your enemy was really happy, why would they bother to be your enemy?	А если бы ваш враг был бы счастлив, зачем бы он стал утруждать себя быть вашим врагом? 
And then, finally, that leads to a new orientation in life where we live equally for ourselves and for others and we are joyful and happy.	И тогда, наконец, это приведет к новой ориентации в жизни, когда живешь в одинаковой степени как для себя, так и для других. И мы понимаем это счастье для нас - и мы рады и счастливы. 
Compassion makes you happy.	Сочувствие делает нас счастливыми. 
The first person who is happy when you get great compassion is yourself, even if you haven't done anything yet for anybody else.	Первый, кто становится счастлив от того, что в вас есть сочувствие, это - вы сами, даже если вы еще ничего ни для кого не сделали. 
But, in fact, if you have cell phones, you can now go to this nice lady who's somewhere like Namibia, and who is extremely happy with the fact that although she does not have an master's degree in electrical engineering from MIT, she's nonetheless able to hack her cell phone to get power in some funny way.	Но, на самом деле, если у вас есть сотовый телефон, вы можете подойти к вот такой милой даме, живущей в стране вроде Намибии, которая чрезвычайно рада, что хотя она не получила ученой степени по электронной инженерии в Массачусетском Технологическом Институте, она все же может разломать свой сотовый телефон и получить энергию очень забавным способом. 
I wanted to save the world and then make everyone happy.	Я хотел спасти мир и сделать всех счастливыми. 
It turned out the cell that we were trying to transplant into had a nuclease, an enzyme that chews up DNA on its surface, and was happy to eat the synthetic DNA that we gave it and never got transplantations.	Оказалось, что клетка, внутрь которой мы пытались трансплантировать, имела нуклеазу, фермент, который поглощает ДНК с поверхности, и тот был рад съесть синтетическую ДНК, которую мы поставляли, вот мы и не могли добиться трансплантации. 
And they were really happy that the guy had a speakerphone because then they had to wait on hold for an hour to talk to somebody to give them an access code after they got there.	Они были счастливы, что у хозяина дома был телефон с громкой связью, потому что им пришлось ждать на линии около часа, пока на том конце провода им назовут код доступа для активации модема. 
I love doing this work, because it really gives many people new hope and new choices that they didnв ™t have before, and it allows us to talk about things that - not just diet, but that happiness is not - we're talking about the pursuit of happiness, but when you really look at all the spiritual traditions, what Aldous Huxley called the "perennial wisdom," when you get past the named and forms and rituals that really divide people, itв ™s really about - our nature is to be happy; our nature is to be peaceful, our nature is to be healthy.	Мне нравится эта работа, потому что она действительно дает многим людям новую надежду и новые выборы, которых у них не было, и позволяет нам говорить, что - не только диета, но и что счастье - это не погоня за ним; когда вы всерьез взглянете на духовные традиции, то, что Альдос Хаксли назвал "вечная мудрость", когда вы пройдете через имена, образы и ритуалы, которые разобщают людей, все это о том, что наша природа - быть счастливыми; наша природа - быть спокойными и здоровыми. 
Theyв ™re powerful tools for transformation, for quieting down our mind and bodies to allow us to experience what it feels like to be happy, to be peaceful, to be joyful and to realize that itв ™s not something that you pursue and get, but rather itв ™s something that you have already until you disturb it.	Они - мощные инструменты для трансформации, для успокоения нашей души и тела, позволяющие нам понять что значит быть счастливым, быть спокойным и радостным и осознать, что счастье - это не то, что ищешь и находишь, а скорее то, что у нас уже есть, пока мы не разрушили его. 
And, you know, I'm happy to say, I think there's really evidence that this non-zero-sum kind of connection can expand the moral compass.	Я рад, что имеются веские, на мой взгляд, доводы в пользу того, что эта взаимозависимость с ненулевой суммой может расширить наш этический ареал. 
It doesn't recognize an ironic smile, or a happy smile, or a frustrated smile.	Не распознавалась ироническая улыбка или счастливая улыбка, или разочарованная улыбка. 
Fashion designer Isaac Mizrahi spins through a dizzying array of inspirations - from "50s pinups to a fleeting glimpse of a woman on the street who makes him shout "Stop the cab!" Inside this rambling talk are real clues to living a happy, creative life.	Дизaйнep-модельер Айзек Мизрахи кружит в ошеломляющем потоке вдохновения: от постеров 50-х до случайно промелькнувшей дыре в майке, заставлящей его кричать: "Остановите такси!". Внутри этой хаотичной лекции настоящие ключи к счастливой, творческой жизни. 
And this has to do with being happy, I swear.	И, клянусь, мы были счастливы. 
So, I wanted to say, Paul, I'm happy you're here, because I know you have my back.	Так что, я хочу сказать: "Пол, я счастлива, что ты здесь, потому что ты за моей спиной" 
I'm going to think of how other people can be happy.	Я буду думать о том, как другие могут быть счастливы. 
And the first person who gets happy when you do that, you don't do anything for anybody else, but you get happier, you yourself, because your whole perception broadens and you suddenly see the whole world and all of the people in it.	И первый человек, который становится счастливым, когда вы это делаете, а вы больше не делаете ничего для кого-нибудь еще, но вы уже более счастливы, вы сами, потому что ваше восприятие раздвигается, и вы вдруг видите весь мир и всех людей в нем. 
And he has been very happy.	И он очень счастлив. 
And I'm happy to say that there are several very promising developments in this area, looking at the impact of shipping on whales.	И я очень рад сообщить, что в этой области есть очень многообещающие изменения, в области влияния судоходства на китов. 
You can view it in sort of geopolitical terms and say, why is it that a billion people on this planet are so desperately needy that they have no possibility of happiness, and whereas almost all the rest of them, regardless of how much money they have - whether it's two dollars a day or whatever - are almost equally happy on average?	Вы можете рассматривать это с геополитической точки зрения и заявить, почему же миллиард людей на этой планете так сильно нуждаются, что у них нет возможности на счастье, тогда как почти все остальные, невзирая на то сколько у них денег, было два доллара в день или независимо сколько, в среднем, почти одинаково счастливы? 
I can't tell if she's happy or sad, and I change my mind all the time.	Я не могу сказать, счастлива она или грустна, и я постоянно меняю мнение. 
And that lack of resolution, the lack of resolution in "Girl with a Pearl Earring" - we don't know if she's happy or sad.	Опять же, как и в "Девушке с жемчужной серёжкой", разгадка отсутствует: мы не знаем, счастлива она или нет. 
I've written an entire novel about her, and I still don't know if she's happy or sad.	Я написала о ней целый роман, но до сих пор не знаю, счастлива она или нет. 
People know now that I'm enthusiastic, that I'm a happy person."	"Теперь людям понятно, что я - энтузиаст и счастливый человек". 
If you do cosmetic surgery, patients are often less happy.	При косметической пластике, зачастую пациенты не остаются такими довольными. 
If we can understand this, then maybe we can figure out how people can be so happy with this.	Если мы сможем это понять, то, вероятно, мы сможем выяснить, как люди могут быть довольны такой ситуацией. 
I said, "She'll be happy. She'll ring you up on the mobile."	Я сказал: "Она будет счастливой. Она позвонит вам на мобильник." 
Our "psychological immune system" lets us feel truly happy even when things donв ™t go as planned.	Наша "психоимунная система" позволяет нам чувствовать себя счастливыми даже тогда, когда вещи идут не так, как мы задумали. 
Dan Gilbert asks, Why are we happy?	Дэн Гилберт спрашивает, "Почему мы счастливы?" 
Because the fact is that a year after losing the use of their legs, and a year after winning the lotto, lottery winners and paraplegics are equally happy with their lives.	Потому что судя по статистике через год после потери возможности ходить и через год после лотерейного выигрыша как победители, так и инвалиды одинаково счастливы в своих жизнях. 
Who are these characters who are so damn happy?	Кто эти настолько счастливые люди? 
What kind of economic engine would keep churning if we believed that not getting what we want could make us just as happy as getting it?	Какая экономика не загнулась бы, если бы мы все знали, что не получив чего-то можно быть не менее счастливым, чем получив? 
You find a way to be happy with what's happened.	Вы всегда найдете способ быть счастливым с тем, что имеете. 
Basically, no one's very happy.	По существу, никто не доволен. 
Are they happy?	Счастливы ли они? 
My sister and I grew up here, and we had quiet, happy childhoods.	Моя сестра и я выросли здесь, и у нас было спокойное, счастливое дество. 
"Money does not make me happy" appeared first as double-page spreads in a magazine.	"Деньги не делают меня счастливым" - это впервые появилось на нескольких журнальных разворотах. 
It said, "Money does does make me happy."	Там было написано: "Деньги делают делают меня счастливым". 
It just says "Money," and if you look down the side street, it says, "does not make me happy."	и там просто написано "Деньги", а когда вы глянете вдоль боковой улицы, там написано, "не делают меня счастливым". 
How come you're so happy?"	Как он может быть таким довольным?" 
It's been where I actually see heaven, where I can be happy, where I can be a child again, in dances, through music.	Через неё я увидел небеса, где я могу быть счастлив, где я могу снова стать ребёнком, танцевать. 
On September 10, the morning of my seventh birthday, I came downstairs to the kitchen, where my mother was washing the dishes and my father was reading the paper or something, and I sort of presented myself to them in the doorway, and they said, "Hey, happy birthday!" And I said, "I'm seven."	10 сентября, в утро моего седьмого дня рождения я спустилась в кухню, где моя мать мыла посуду, а отец читал газету или что-то вроде того, и я как бы предстала перед ними в проходе, и они сказали: "Привет, с днём рождения." А я сказала: "Мне семь." 
Now, I was raised in the Pacific Northwest, around a lot of Church of Latter-day Saints people and, you know, I've worked with them and even dated them, but I never really knew the doctrine or what they said to people when they were out on a mission, and I guess I was, sort of, curious, so I said, "Well, please, come in." And they looked really happy, because I don't think this happens to them all that often.	Я выросла на Тихоокеанском Северо-Западе Штатов, вблизи множества людей из Церкви Последних Свяых и, знаете, я с ними работала, и даже ходила с ними на свидания, но никогда на самом деле не знала их доктрины или того, о чём они рассазывали людям на своих миссиях, и, наверное, мне стало как-то любопытно, и поэтому я сказала: "Ну, что ж, пожалуйста, заходите." И они выглядели очень счастливыми, потому что не думаю, что такое им так часто доводиться испытать. 
I'm happy without it."	Я довольна без неё." 
He introduces the Happy Planet Index, which tracks national well-being against resource use .	Он знакомит нас с Индексом Счастливой Планеты, который связывает благополучие нации с использованием природных ресурсов . 
The Happy Planet Index	Индекс Счастливой Планеты 
And what we do, is we say that the ultimate outcome of a nation is how successful is it at creating happy and healthy lives for its citizens.	Вот что мы сделали: мы сказали, что конечный результат деятельности государства состоит в том насколько успешно у властей получается создать счастливую и благополучную жизнь для своих граждан. 
And then we're starting to create a happy planet.	И затем мы начнём создавать счастливую планету. 
Human beings want to be happy.	Люди хотят быть счастливыми. 
And we need to have signposts gathering people together and pointing them - something like the Happy Planet Index.	Также нам понадобятся указатели, которые соберут людей вместе и направят их - что-то вроде Индекса Счастливой Планеты. 
I was doing my taxes the other day, and I got to the point where I was listing all of the donations I gave, and I had an epiphany, it was - I came to my check to the Seva Foundation and I noticed that I thought, boy, my friend Larry Brilliant would really be happy that I gave money to Seva.	На днях я заполнял налоги, и я дошёл до пункта, где я перечислял все свои пожертвования, и тут меня озарило, когда я добрался до чека, выписанного Фонду Сева: я поймал себя на мысли, что мой друг, Ларри Бриллиант, был бы счастлив узнать о том, что я финансово поддержал Фонд. 
And I was happy to see that at the party last night that he was still saying, very forcibly, "It's really important to have a lot of data."	И я был рад увидеть, что вчера на вечеринке он повторял с большой убеждённостью, что "очень важно обладать данными". 
Work doesn't make you happy, does it?	Ведь работа не делает нас счастливыми? 
So, hopefully this will bring back some happy, or possibly some slightly disturbing memories.	Ну, будем надеяться, что сейчас вспомнятся счастливые или, возможно, слегка волнительные моменты. 
What Howard did is he fundamentally changed the way the food industry thinks about making you happy.	Говард в корне изменил представление пищевой промышленности о том, как сделать вас счастливыми. 
Assumption number one in the food industry used to be that the way to find out what people want to eat - what will make people happy - is to ask them.	В пищевой промышленности предположение номер один было таким: чтобы выяснить, что именно люди хотят съесть, что сделает их счастливыми, нужно спросить их. 
And everyone's take-home lesson from that was that the way to get to make people happy is to give them something that is more expensive, something to aspire to.	Но урок, который все получили, был в том, что способ сделать людей счастливыми это дать им нечто более дорогое, нечто, к чему нужно стремиться. 
Because we thought that what it took to make people happy was to provide them with the most culturally authentic tomato sauce, A;	Потому что мы думали, что для того, чтобы сделать людей счастливыми, нужно предоставить им наиболее традиционный томатный соус. 
The difference between coffee at 60 and coffee at 78 is a difference between coffee that makes you wince, and coffee that makes you deliriously happy.	Отличие между кофе с оценкой 60 и кофе с оценкой 78 это отличие между кофе, который заставит вас поморщиться, и кофе, который сделает вас безумно счастливыми. 
I am so happy that my students did this campaign.	Я так рада, что мои ученики приняли участие в этой кампании! 
Marissa, her father died in her hand, I think she'd be quite happy if corporate America could start feeding their staff properly.	Марисса, у которой отец умер у нее на руках, я думаю, она была бы счастлива, если бы корпаротивная Америка могла начать кормить своих сотрудников качественно. 
I thought that only idiots were happy, to be honest.	Если честно, то я думала, что счастливы только идиоты. 
And everyone was supposed to be happy in that community and, in fact, my life was hell.	В таком обществе всем полагалось быть счастливыми, но на самом деле моя жизнь была кромешным адом. 
And then you find these things and you're happy or unhappy.	А затем находите ответ, и вы счастливы либо несчастливы. 
I'm really glad to say - recently, we've been in correspondence with Ryan - that this story had a happy ending.	С радостью могу сказать, что мы переписывались с Райаном, и у этой истории счастливый конец. 
Don Norman on 3 ways good design makes you happy	Дoн Норман о трех составляющих дизайна, которые делают вас счастливым 
And when you're happy - what we call positive valence - you squirt dopamine into the prefrontal lobes, which makes you a breadth-first problem solver:	А когда вы счастливы, это то, что мы называем позитивной валентностью, происходит впрыск дофамина в предлобные доли, что помогает вам мыслить шире. 
With brainstorming we make you happy, we play games, and we say, "No criticism," and you get all these weird, neat ideas.	Мозговые штурмы делают нас счастливее, мы играем в игры и говорим "Нет" критике, и рождаются все эти странные, интересные идеи. 
The brain works differently if you're happy. Things work better because you're more creative.	Таким образом, мозг работает по другому и если вы счастливы, то всё получается лучше, потому что вы работаете более творчески. 
But I was in Milan and saw this street sign, and was very happy to see that apparently this idea of minimalism has even been translated by the graffiti artist.	Но я был в Милане и увидел этот дорожный знак, и был очень рад увидеть, как, очевидно, эта идея минимализма была интерпретирована художником граффити. 
There's very few times you'd be happy to find this on your car, but it did seem to indicate that we were coming back.	Очень мала вероятность, что вы будете рады, увидев такое на вашей машине, но, похоже, это означало, что мы возвращаемся к прежней жизни. 
And I'm happy to say, I was partly responsible for that cliche that machines are becoming biological, but that's pretty evident.	Я счастлив говорить, что я отчасти ответственен за это клише о том, что машины становятся биологическими, но это достаточно очевидно. 
Happy face? Sad face? Sleepy face? Anybody do that?	Счастливый смайл, грустный, сонный? Кто-нибудь так делал? 
And a lot of licit banks were also happy to accept deposits from very dubious sources without questions being asked.	Многие законные банки были только рады принять вклады из очень сомнительных источников не задавая никаких вопросов. 
Imagine whenever you meet any other person, any time you meet a person, your habitual, instinctive first thought is, "I want you to be happy.	Представьте, что каждый раз, когда вы встречаете любого другого человека, каждый раз, когда вы встречаете этого человека, ваша привычная, инстинктивная первая мысль - это: "Я хочу, чтобы вы были счастливы. 
I want you to be happy."	Я хочу, чтобы вы были счастливы". 
I want to quote this guy - the guy in robes, not the other guy - the Dalai Lama, who said, "If you want others to be happy, practice compassion.	Я хочу процитировать этого человека - человека в мантии, не другого парня - Далай Ламу, который сказал: "Если хочешь, чтобы другие были счастливы, практикуй сопереживание. 
If you want to be happy, practice compassion."	Если хочешь быть счастлив сам, практикуй сопереживание". 
I end always, because I'm sure the questions are - and I'd be happy to talk to you at any point - "But what can I really do?"	Я знаю, у вас еще остались вопросы, я рада поговорить с вами в любой момент - "Но что конкретно я могу сделать?" 
Most of my professors were all for it, and they said, "Bring pictures and show me the clips online," and "I'm happy for you."	Большинство профессоров были за, они говорили "привези фотографии", "покажешь мне ролики в интернете" и "рад за тебя". 
And that makes a happy family.	Это делает семью счастливой. 
Living a nomadic existence has been hard at times, but it's allowed me to live in beautiful places and keep a balance in my life that I've been happy with.	Вести кочевую жизнь бывало непросто, но зато я смог пожить в красивых местах и сохранить гармонию, чем я очень доволен. 
He was so happy.	Он был так счастлив. 
Obviously, he's had his vasectomy because his hotdog is half eaten, and he was very happy.	Очевидно, он сделал вазектомию, потому что его хот-дог наполовину съеден, и он был счастлив. 
So they were happy with that.	И они были рады этому. 
But I was happy to pay it, because for every blow that I received, I was able to deliver two.	Но я рада была ее платить, потому что на каждый удар я отвечала двумя. 
We find that if we get them out of institutions and into loving families early on, they recover their developmental delays, and go on to lead normal, happy lives.	Согласно нашим исследованиям, чем раньше ребёнок принимается в любящую семью, тем скорее восстанавливается его развитие, и он вновь живёт полной, счастливой жизнью. 
But he's not happy; something's wrong.	Но он не доволен - что-то не так. 
He removes it, the problems are solved, everybody in the palazzo is happy.	Он высвобождает антенну - проблема решена, и все в палаццо счастливы 
Happy to see so many fine folks out here and so many smiling faces.	Я счастлив видеть здесь столько прекрасных людей и множество улыбающихся лиц. 
Happy New Year’s to you and yours! **	Счастливого Нового Года Вам и Вашим близким! ** 
The Governor was happy with the market pushing back its expectation for rate hikes, and the market now expects a more gradual pace of rate increases compared to August.	Управляющий доволен, что рынок переносит свои ожидания по поводу повышения ставок, и рынок сейчас предполагает более постепенный темп повышения ставок по сравнению с августом. 
If large investors aren’t willing to take a risk on Tesco then the stock price could struggle to gain traction until larger investors are happy that the industry has turned a corner.	Если крупные инвесторы не хотят брать на себя риск по Tesco, то курсу акции будет непросто наращивать обороты, пока боле крупные инвесторы не будут довольны, что индустрия пошла на поправку. 
The tepid response in the stock market (up 1%) suggests that domestic investors are happy but not overjoyed.	Невозмутимая реакция на фондовом рынке (до 1%) предполагает, что отечественные инвесторы рады, но не вне себя от радости. 
But so far, the Greek government seems to be favoring its creditors over its voters, which should keep the markets happy.	Но до сих пор, греческое правительство, кажется выбирает кредиторов над своими избирателями, и это должно делать рынки довольными. 
Because of the technical set-up and recent price action showing GBP weakness across the board, we’re happy to consider this trade with the stop above the cloud.	Благодаря недавнему поведению цены, показывающей слабость GBP со всеми кроссами, мы счастливы рассмотреть эту сделку со стопом выше облака. 
Since I was trading completely independently and am no longer running my program I’m happy to tell all.	Поскольку я торговал совершенно независимо и больше не использую свою программу, то счастлив рассказать вам обо всем. 
This may seem like a minor point, but if your trading venture doesn't succeed financially, you can't even fall back to the - "well, at least I made a lot of people happy, more productive, etc.".	Это может казаться незначительным аргументом, но если ваше трейдинговое предприятие не принесло финансового успеха, вы даже не можете сказать себе: “ну, по меньшей мере я сделал каких-то людей счастливыми, более продуктивными и т.д.”. 
The AP (and the ETF) are happy to create shares until the increased supply has driven the market price down close to the iNAV value.	AP (и ETF) рады создавать акции, пока увеличенная поставка уменьшает рыночную цену до уровня стоимости iNAV. 
Our community and expert traders will be happy to help:	Наши пользователи и эксперты по торговле будут рады помочь: 
For any questions you might have left, our community and our experts are happy to help you in our forums:	Если у вас останутся какие-либо вопросы, то наше сообщество и эксперты будут рады помочь вам на наших форумах: 
Absence of conflict may not mean a basically happy relationship so much as fear of the consequences of conflict.	Отсутствие конфликта может означать не столько счастливые взаимоотношения, сколько опасение последствий конфликта открытого.
This means that the happy investor in these securities will be in one of the few industries which will in no sense feel the next business depression, which sooner or later will be felt by most other industries.	Это означает, что счастливый инвестор, владеющий этой разновидностью ценных бумаг, окажется связанным с одной из очень немногих отраслей, которая не почувствует ближайшего спада деловой активности, который, рано или поздно, придется пережить другим отраслям. 
When things were slow, I found it less unpleasant to analyze in great detail just how I would build up my business when the happy day that I would no longer be wearing a uniform might arise than it was to think of the personal living and Army type problems with which, from a short-range point of view, I was confronted.	Когда дел было мало, мне было приятнее подробно анализировать, как можно будет выстроить свой бизнес в то счастливое время, когда не нужно будет больше носить униформу, — это было приятнее, чем размышлять о личных делах или армейских проблемах, с которыми я сталкивался на том коротком отрезке жизненного пути. 
EXNESS client support is always happy to help traders resolve any issue.	Служба поддержки клиентов EXNESS всегда рада помочь трейдерам в решении любого вопроса. 
For any questions you may have, you can contact us directly via telephone or Live Chat and we'll be more than happy to assist!	Если у Вас есть какие-либо вопросы, вы можете связаться с нами по телефону или с помощью чата, и мы будем рады Вам помочь! 
Topic: Banking
Contact us and we’ll be happy to provide further explanation to any questions you may have!	Свяжитесь с нами, и мы будем рады ответить на все Ваши вопросы! 
If you have any other questions or concerns, we are happy to talk to you about the many steps UFXMarkets takes to keep your trading safe and secure.	Если у вас есть другие вопросы, мы будем рады поговорить с вами о многочисленных мерах, которые UFXMarkets принимает для обеспечения безопасности вашей торговли. 
In other words, XGLOBAL Markets is extremely happy to offer a transparent and a straightforward trading experience to all of you.	Иными словами, брокер XGLOBAL Markets счастлив предоставить вам самые простые и удобные условия торговли. 
